accession;type
SRR7171680.fastq;Xeroderma pigmentosum complement group C
SRR7171678.fastq;Xeroderma pigmentosum complement group C
SRR7171682.fastq;Cockayne syndrome type A
SRR7171675.fastq;Cockayne syndrome type B
SRR7171663.fastq;Normal
SRR7171668.fastq;Normal neonatal
ERR251402.fastq;blood
SRR7171664.fastq;Normal
ERR1602666.fastq;lympho
ERR1602657.fastq;lympho
SRR7171677.fastq;Cockayne syndrome type B
ERR1602655.fastq;lympho
ERR251379.fastq;blood
ERR251346.fastq;blood
SRR7171672.fastq;Cockayne syndrome type B
ERR251377.fastq;blood
ERR251347.fastq;blood
ERR1602661.fastq;lympho
ERR1602651.fastq;lympho
ERR1602667.fastq;lympho
ERR1602660.fastq;lympho
ERR251380.fastq;blood
SRR7171683.fastq;Cockayne syndrome type A
ERR1602658.fastq;lympho
ERR251343.fastq;blood
SRR7171676.fastq;Cockayne syndrome type A
SRR7171665.fastq;Normal
SRR7171662.fastq;Xeroderma pigmentosum complement group C
ERR251345.fastq;blood
ERR251403.fastq;blood
ERR251325.fastq;blood
ERR1602664.fastq;lympho
ERR1602649.fastq;lympho
ERR1602656.fastq;lympho
ERR1602663.fastq;lympho
ERR251342.fastq;blood
SRR7171674.fastq;Cockayne syndrome type B
ERR1602653.fastq;lympho
ERR251401.fastq;blood
ERR251404.fastq;blood
ERR251326.fastq;blood
ERR251327.fastq;blood
ERR251348.fastq;blood
ERR251378.fastq;blood
ERR251328.fastq;blood
SRR7171661.fastq;Xeroderma pigmentosum complement group C
SRR7171669.fastq;Normal neonatal
SRR7171666.fastq;Normal
ERR1602668.fastq;lympho
ERR251344.fastq;blood
ERR251329.fastq;blood
ERR1602662.fastq;lympho
ERR1602652.fastq;lympho
SRR7171671.fastq;Cockayne syndrome type B
SRR7171667.fastq;Normal neonatal
SRR7171673.fastq;Cockayne syndrome type B
ERR1602650.fastq;lympho
SRR7171679.fastq;Xeroderma pigmentosum complement group C
SRR7171670.fastq;Normal neonatal
ERR1602654.fastq;lympho
ERR1602665.fastq;lympho
ERR1602659.fastq;lympho
